Feature,Score
 Timestamp,193228.34016567696
Fwd IAT Total,486.5851875803412
 Fwd IAT Max,476.355436099022
 Idle Max,413.5773620994518
Flow ID,395.2779197410099
 Bwd Packets/s,351.51063952094876
Idle Mean,343.50961168899545
 Active Min,342.988938829991
Active Mean,339.21921661544087
 Destination IP,301.3778327110946
